Call_Type,Category,Response Type
Resisting Arrest/Eluding - 2C:29-2,Criminal Incidents,Emergency
Retaliation/Official Action - 2C:27-5,Criminal Incidents,Routine
Riot - Failure to Disperse - 2C:33-1,Criminal Incidents,Emergency
Robbery - 2C:15-1,Criminal Incidents,Emergency
Service - FRO,Criminal Incidents,Routine
Service - TRO,Criminal Incidents,Routine
Sexual Assault - 2C:14-2b,Criminal Incidents,Emergency
Shoplifting - 2C:20-11,Criminal Incidents,Routine
Simple Assault - 2C:12-1a,Criminal Incidents,Routine
Slugs - 2C:21-18,Criminal Incidents,Routine
Stalking - 2C:12-10,Criminal Incidents,Routine
Stolen Article,Criminal Incidents,Routine
Summons,Criminal Incidents,Routine
Tampering: Public Records - 2C:28-7,Criminal Incidents,Routine
Terroristic Threats - 2C:12-3,Criminal Incidents,Routine
Theft - 2C:20-3,Criminal Incidents,Routine
Theft by Deception - 2C:20-4,Criminal Incidents,Routine
Theft by Extortion - 2C:20-5,Criminal Incidents,Routine
Theft of Identity - 2C:21-17,Criminal Incidents,Routine
Theft of Lost/Mislaid Property - 2C:20-6,Criminal Incidents,Routine
Theft of Services - 2C:20-8,Criminal Incidents,Routine
Theft/Disposition - 2C:20-9,Criminal Incidents,Routine
Unauthorized Intercept./Comm. - 2C:33-22,Criminal Incidents,Routine
Unlawful Possess./Weapons - 2C:39-5,Criminal Incidents,Emergency
Unlawful Taking - 2C:20-10,Criminal Incidents,Routine
Unlawful Use Of 9-1-1 Sys. - 2C:33-3e,Criminal Incidents,Routine
Unsworn Falsification - 2C:28-3,Criminal Incidents,Routine
Vehicular Homicide - 2C:11-5,Criminal Incidents,Emergency
Violation FRO - 2C:29-9b,Criminal Incidents,Urgent
Violation TRO - 2C:29-9b,Criminal Incidents,Urgent
Violation of Court Order,Criminal Incidents,Urgent
Violation: TRO/ FRO - 2C:29-9b,Criminal Incidents,Urgent
Wagering/Official Action - 2C:30-3,Criminal Incidents,Routine
Warrant Arrest,Criminal Incidents,Urgent
Weapons - Unlawful Purposes - 2C:39-4,Criminal Incidents,Emergency
Weapons Seizure - 2C:25-21d,Criminal Incidents,Routine
Widespread Damage - 2C:17-2,Criminal Incidents,Emergency
Witness Tampering - 2C:28-5,Criminal Incidents,Routine
Wrongful Impersonating - 2C:21-1,Criminal Incidents,Routine
